"technology","row_id","Material_Technology","Intensity_Distribution_Value","year","scenario","capacity_new","material_demand"
"Coal",80,"Copper.Coal",472.982331155719,2030,"Ref",-1.40684744154277,0
"Coal",80,"Copper.Coal",472.982331155719,2035,"IRA",-3.06863443089608,0
"Coal",80,"Copper.Coal",472.982331155719,2035,"Ref",-2.79738425183609,0
"Coal",10,"Cement.Coal",14548.5241001097,2025,"IRA",-21.7548620776517,0
"Coal",10,"Cement.Coal",14548.5241001097,2025,"Ref",-18.0254523154354,0
"Coal",10,"Cement.Coal",14548.5241001097,2030,"IRA",-5.82711506074089,0
"Coal",10,"Cement.Coal",14548.5241001097,2030,"Ref",-1.40684744154277,0
"Coal",10,"Cement.Coal",14548.5241001097,2035,"IRA",-3.06863443089608,0
"Coal",10,"Cement.Coal",14548.5241001097,2035,"Ref",-2.79738425183609,0
"Coal",81,"Steel.Coal",50972.6721715779,2025,"IRA",-21.7548620776517,0
"Coal",81,"Steel.Coal",50972.6721715779,2025,"Ref",-18.0254523154354,0
"Coal",81,"Steel.Coal",50972.6721715779,2030,"IRA",-5.82711506074089,0
"Coal",81,"Steel.Coal",50972.6721715779,2030,"Ref",-1.40684744154277,0
"Coal",81,"Steel.Coal",50972.6721715779,2035,"IRA",-3.06863443089608,0
"Coal",81,"Steel.Coal",50972.6721715779,2035,"Ref",-2.79738425183609,0
"Coal",85,"Steel.Coal",54592.7468228191,2025,"IRA",-21.7548620776517,0
"Coal",85,"Steel.Coal",54592.7468228191,2025,"Ref",-18.0254523154354,0
"Coal",85,"Steel.Coal",54592.7468228191,2030,"IRA",-5.82711506074089,0
"Coal",85,"Steel.Coal",54592.7468228191,2030,"Ref",-1.40684744154277,0
"Coal",85,"Steel.Coal",54592.7468228191,2035,"IRA",-3.06863443089608,0
"Coal",85,"Steel.Coal",54592.7468228191,2035,"Ref",-2.79738425183609,0
"Coal",78,"Cement.Coal",13381.3641990049,2025,"IRA",-21.7548620776517,0
"Coal",78,"Cement.Coal",13381.3641990049,2025,"Ref",-18.0254523154354,0
"Coal",78,"Cement.Coal",13381.3641990049,2030,"IRA",-5.82711506074089,0
"Coal",78,"Cement.Coal",13381.3641990049,2030,"Ref",-1.40684744154277,0
"Coal",78,"Cement.Coal",13381.3641990049,2035,"IRA",-3.06863443089608,0
"Coal",78,"Cement.Coal",13381.3641990049,2035,"Ref",-2.79738425183609,0
"Coal",41,"Steel.Coal",54174.8378173322,2025,"IRA",-21.7548620776517,0
"Coal",41,"Steel.Coal",54174.8378173322,2025,"Ref",-18.0254523154354,0
"Coal",41,"Steel.Coal",54174.8378173322,2030,"IRA",-5.82711506074089,0
"Coal",41,"Steel.Coal",54174.8378173322,2030,"Ref",-1.40684744154277,0
"Coal",41,"Steel.Coal",54174.8378173322,2035,"IRA",-3.06863443089608,0
"Coal",41,"Steel.Coal",54174.8378173322,2035,"Ref",-2.79738425183609,0
